SiO2,CaO,SO3,FA (kg/m3),GGBFS (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Total aggregates,Na2SiO3,Na2O (Dry),Sio2 (Dry),Superplasticizer,water -eff,fc 28-d - Target (MPa),Utility,Novelty,Uncertainty
52.295,12.58,0.27,252.0,108.0,1090.8,774.0,1864.8,115.71429,13.31,34.71,14.4,107.80714,48.976006,48.976006,0.39479536694094597,0.0
52.295,12.58,0.27,252.0,108.0,1090.8,774.0,1864.8,128.57143,14.79,38.57,14.4,118.82571,48.92766,48.92766,0.47974427298445343,0.0
52.295,12.58,0.27,252.0,108.0,1090.8,774.0,1864.8,141.42857,16.26,42.43,14.4,129.84429,49.114265,49.114265,0.5053761437993725,0.0
52.295,12.58,0.27,252.0,108.0,1090.8,774.0,1864.8,154.28571,17.74,46.29,14.4,140.86286,49.53718,49.53718,0.4735963105390526,0.0
52.295,12.58,0.27,294.0,126.0,966.0,810.6,1776.6,135.0,15.53,40.5,16.8,125.775,49.633915,49.633915,0.4767189043309116,0.0
52.295,12.58,0.27,294.0,126.0,966.0,810.6,1776.6,150.0,17.25,45.0,16.8,138.63,50.169903,50.169903,0.4675897147410397,0.0
52.295,12.58,0.27,294.0,126.0,966.0,810.6,1776.6,165.0,18.98,49.5,16.8,151.485,50.56159,50.56159,0.38389812021820857,0.0
52.295,12.58,0.27,294.0,126.0,966.0,810.6,1776.6,180.0,20.7,54.0,16.8,164.34,50.649338,50.649338,0.24665903465424122,0.0
52.295,12.58,0.27,315.0,135.0,972.0,760.5,1732.5,144.64286,16.63,43.39,18.0,134.75893,49.374493,49.374493,0.4515008027924372,0.0
52.295,12.58,0.27,315.0,135.0,972.0,760.5,1732.5,160.71429,18.48,48.21,18.0,148.53214,48.917904,48.917904,0.38436227201966955,0.0
52.295,12.58,0.27,315.0,135.0,972.0,760.5,1732.5,176.78571,20.33,53.04,18.0,162.30536,48.886612,48.886612,0.25251667233306474,0.0
52.295,12.58,0.27,315.0,135.0,972.0,760.5,1732.5,192.85714,22.18,57.86,18.0,176.07857,49.105083,49.105083,0.08119855413118082,0.0
49.69,15.44,0.36,216.0,144.0,1090.8,774.0,1864.8,115.71429,13.31,34.71,14.4,107.80714,49.528637,49.528637,0.4859005512121086,0.0
49.69,15.44,0.36,216.0,144.0,1090.8,774.0,1864.8,128.57143,14.79,38.57,14.4,118.82571,49.243286,49.243286,0.5902968478208911,0.0
49.69,15.44,0.36,216.0,144.0,1090.8,774.0,1864.8,141.42857,16.26,42.43,14.4,129.84429,49.13713,49.13713,0.6291992756336287,0.0
49.69,15.44,0.36,216.0,144.0,1090.8,774.0,1864.8,154.28571,17.74,46.29,14.4,140.86286,49.310436,49.310436,0.5977979265464641,0.0
49.69,15.44,0.36,252.0,168.0,966.0,810.6,1776.6,135.0,15.53,40.5,16.8,125.775,50.39415,50.39415,0.5936642931609533,0.0
49.69,15.44,0.36,252.0,168.0,966.0,810.6,1776.6,150.0,17.25,45.0,16.8,138.63,50.29367,50.29367,0.590032101752094,0.0
49.69,15.44,0.36,252.0,168.0,966.0,810.6,1776.6,180.0,20.7,54.0,16.8,164.34,49.89426,49.89426,0.33597015356407667,0.0
49.69,15.44,0.36,270.0,180.0,972.0,760.5,1732.5,144.64286,16.63,43.39,18.0,134.75893,49.072376,49.072376,0.5825591058601292,0.0
49.69,15.44,0.36,270.0,180.0,972.0,760.5,1732.5,160.71429,18.48,48.21,18.0,148.53214,48.48459,48.48459,0.49938922530766094,0.0
49.69,15.44,0.36,270.0,180.0,972.0,760.5,1732.5,176.78571,20.33,53.04,18.0,162.30536,48.429337,48.429337,0.34601045654886686,0.0
49.69,15.44,0.36,270.0,180.0,972.0,760.5,1732.5,192.85714,22.18,57.86,18.0,176.07857,48.49797,48.49797,0.15607122769379034,0.0
47.085,18.3,0.45,180.0,180.0,1090.8,774.0,1864.8,115.71429,13.31,34.71,14.4,107.80714,50.34667,50.34667,0.47161172479817404,0.0
47.085,18.3,0.45,180.0,180.0,1090.8,774.0,1864.8,141.42857,16.26,42.43,14.4,129.84429,50.006615,50.006615,0.6244549410786538,0.0
47.085,18.3,0.45,180.0,180.0,1090.8,774.0,1864.8,154.28571,17.74,46.29,14.4,140.86286,49.676697,49.676697,0.5927159694698894,0.0
47.085,18.3,0.45,210.0,210.0,966.0,810.6,1776.6,135.0,15.53,40.5,16.8,125.775,50.41986,50.41986,0.5806060334966249,0.0
47.085,18.3,0.45,210.0,210.0,966.0,810.6,1776.6,165.0,18.98,49.5,16.8,151.485,49.218624,49.218624,0.48027069462355376,0.0
47.085,18.3,0.45,210.0,210.0,966.0,810.6,1776.6,180.0,20.7,54.0,16.8,164.34,49.10687,49.10687,0.3230403500179706,0.0
47.085,18.3,0.45,225.0,225.0,972.0,760.5,1732.5,144.64286,16.63,43.39,18.0,134.75893,49.435387,49.435387,0.5739813390080843,0.0
47.085,18.3,0.45,225.0,225.0,972.0,760.5,1732.5,160.71429,18.48,48.21,18.0,148.53214,48.810627,48.810627,0.48907445016533924,0.0
47.085,18.3,0.45,225.0,225.0,972.0,760.5,1732.5,176.78571,20.33,53.04,18.0,162.30536,48.60168,48.60168,0.3355726541823314,0.0
47.085,18.3,0.45,225.0,225.0,972.0,760.5,1732.5,192.85714,22.18,57.86,18.0,176.07857,48.42447,48.42447,0.14716969904528643,0.0
52.295,12.58,0.27,252.0,108.0,1090.8446,773.9554,1864.8,115.71429,13.31,34.71,14.4,107.80714,48.97697,48.97697,0.3947662137223371,0.0
52.295,12.58,0.27,259.0,111.0,1081.5584,775.84155,1857.4,118.92857,13.68,35.68,14.8,110.80179,48.98743,48.98743,0.43646144977774914,0.0
52.295,12.58,0.27,273.0,117.0,1057.564,775.43599,1833.0,125.35714,14.42,37.61,15.6,116.79107,48.96915,48.96915,0.500074542628533,0.0
52.295,12.58,0.27,280.0,120.0,1043.045,772.95498,1816.0,128.57143,14.79,38.57,16.0,119.78571,48.963253,48.963253,0.5173938318955162,0.0
52.295,12.58,0.27,287.0,123.0,1026.6499,769.15012,1795.8,131.78571,15.16,39.54,16.4,122.78036,49.057964,49.057964,0.5234688945197639,0.0
52.295,12.58,0.27,294.0,126.0,1010.9298,765.67018,1776.6,135.0,15.53,40.5,16.8,125.775,49.167545,49.167545,0.5176454314738663,0.0
52.295,12.58,0.27,308.0,132.0,969.46003,777.33997,1746.8,141.42857,16.26,42.43,17.6,131.76429,49.54705,49.54705,0.49249774143894787,0.0
52.295,12.58,0.27,315.0,135.0,971.96195,760.53805,1732.5,144.64286,16.63,43.39,18.0,134.75893,49.375324,49.375324,0.4515495595232222,0.0
49.69,15.44,0.36,216.0,144.0,1090.8446,773.9554,1864.8,115.71429,13.31,34.71,14.4,107.80714,49.52889,49.52889,0.48587094040530676,0.0
49.69,15.44,0.36,222.0,148.0,1081.5584,775.84155,1857.4,118.92857,13.68,35.68,14.8,110.80179,49.51397,49.51397,0.5353596964245063,0.0
49.69,15.44,0.36,228.0,152.0,1070.4551,776.34486,1846.8,122.14286,14.05,36.64,15.2,113.79643,49.48196,49.48196,0.5821146607107393,0.0
49.69,15.44,0.36,240.0,160.0,1043.045,772.95498,1816.0,128.57143,14.79,38.57,16.0,119.78571,49.56837,49.56837,0.6512190477421276,0.0
49.69,15.44,0.36,252.0,168.0,1010.9298,765.67018,1776.6,135.0,15.53,40.5,16.8,125.775,49.643894,49.643894,0.6591113437960987,0.0
49.69,15.44,0.36,258.0,172.0,967.96105,795.03895,1763.0,138.21429,15.89,41.46,17.2,128.76964,50.067963,50.067963,0.630720597709965,0.0
49.69,15.44,0.36,270.0,180.0,971.96195,760.53805,1732.5,144.64286,16.63,43.39,18.0,134.75893,49.072243,49.072243,0.5826217884769368,0.0
47.085,18.3,0.45,180.0,180.0,1090.8446,773.9554,1864.8,115.71429,13.31,34.71,14.4,107.80714,50.345963,50.345963,0.4715846709122531,0.0
47.085,18.3,0.45,185.0,185.0,1081.5584,775.84155,1857.4,118.92857,13.68,35.68,14.8,110.80179,50.38116,50.38116,0.52012057993362,0.0
47.085,18.3,0.45,190.0,190.0,1070.4551,776.34486,1846.8,122.14286,14.05,36.64,15.2,113.79643,50.41316,50.41316,0.5651700466165879,0.0
47.085,18.3,0.45,195.0,195.0,1057.564,775.43599,1833.0,125.35714,14.42,37.61,15.6,116.79107,50.44095,50.44095,0.6047452832992458,0.0
47.085,18.3,0.45,200.0,200.0,1043.045,772.95498,1816.0,128.57143,14.79,38.57,16.0,119.78571,50.38249,50.38249,0.6365059923229639,0.0
47.085,18.3,0.45,215.0,215.0,967.96105,795.03895,1763.0,138.21429,15.89,41.46,17.2,128.76964,49.893593,49.893593,0.6196756851064752,0.0
47.085,18.3,0.45,225.0,225.0,971.96195,760.53805,1732.5,144.64286,16.63,43.39,18.0,134.75893,49.434685,49.434685,0.57404219700836,0.0
52.295,12.58,0.27,252.0,108.0,1090.8446,773.9554,1864.8,128.57143,14.79,38.57,14.4,118.82571,48.92758,48.92758,0.4797105013187615,0.0
52.295,12.58,0.27,259.0,111.0,1081.5584,775.84155,1857.4,132.14286,15.2,39.64,14.8,122.12643,48.98142,48.98142,0.5077103547460363,0.0
52.295,12.58,0.27,266.0,114.0,1070.4551,776.34486,1846.8,135.71429,15.61,40.71,15.2,125.42714,48.976044,48.976044,0.528509929296739,0.0
52.295,12.58,0.27,273.0,117.0,1057.564,775.43599,1833.0,139.28571,16.02,41.79,15.6,128.72786,49.121902,49.121902,0.5409274585503415,0.0
52.295,12.58,0.27,280.0,120.0,1043.045,772.95498,1816.0,142.85714,16.43,42.86,16.0,132.02857,49.22613,49.22613,0.5424210622118728,0.0
52.295,12.58,0.27,287.0,123.0,1026.6499,769.15012,1795.8,146.42857,16.84,43.93,16.4,135.32929,49.33616,49.33616,0.5299608487615042,0.0
52.295,12.58,0.27,294.0,126.0,1010.9298,765.67018,1776.6,150.0,17.25,45.0,16.8,138.63,49.197792,49.197792,0.5043471851870275,0.0
52.295,12.58,0.27,301.0,129.0,967.96105,795.03895,1763.0,153.57143,17.66,46.07,17.2,141.93071,49.93763,49.93763,0.46897801987801424,0.0
52.295,12.58,0.27,308.0,132.0,969.46003,777.33997,1746.8,157.14286,18.07,47.14,17.6,145.23143,49.447327,49.447327,0.43984465992804345,0.0
52.295,12.58,0.27,315.0,135.0,971.96195,760.53805,1732.5,160.71429,18.48,48.21,18.0,148.53214,48.919056,48.919056,0.38440483586163154,0.0
49.69,15.44,0.36,216.0,144.0,1090.8446,773.9554,1864.8,128.57143,14.79,38.57,14.4,118.82571,49.243916,49.243916,0.5902609334029457,0.0
49.69,15.44,0.36,222.0,148.0,1081.5584,775.84155,1857.4,132.14286,15.2,39.64,14.8,122.12643,49.211468,49.211468,0.6288591380499512,0.0
49.69,15.44,0.36,228.0,152.0,1070.4551,776.34486,1846.8,135.71429,15.61,40.71,15.2,125.42714,49.167572,49.167572,0.6596685333527565,0.0
49.69,15.44,0.36,234.0,156.0,1057.564,775.43599,1833.0,139.28571,16.02,41.79,15.6,128.72786,49.101444,49.101444,0.6802290988845856,0.0
49.69,15.44,0.36,240.0,160.0,1043.045,772.95498,1816.0,142.85714,16.43,42.86,16.0,132.02857,49.096073,49.096073,0.6860146056039013,0.0
49.69,15.44,0.36,246.0,164.0,1026.6499,769.15012,1795.8,146.42857,16.84,43.93,16.4,135.32929,49.136093,49.136093,0.6724708917082047,0.0
49.69,15.44,0.36,252.0,168.0,1010.9298,765.67018,1776.6,150.0,17.25,45.0,16.8,138.63,49.00463,49.00463,0.6417270451692176,0.0
49.69,15.44,0.36,258.0,172.0,967.96105,795.03895,1763.0,153.57143,17.66,46.07,17.2,141.93071,49.55907,49.55907,0.5973320163685027,0.0
49.69,15.44,0.36,264.0,176.0,969.46003,777.33997,1746.8,157.14286,18.07,47.14,17.6,145.23143,48.800804,48.800804,0.5649115573331374,0.0
49.69,15.44,0.36,270.0,180.0,971.96195,760.53805,1732.5,160.71429,18.48,48.21,18.0,148.53214,48.48488,48.48488,0.49944110186834356,0.0
47.085,18.3,0.45,180.0,180.0,1090.8446,773.9554,1864.8,128.57143,14.79,38.57,14.4,118.82571,50.069714,50.069714,0.5844507852442202,0.0
47.085,18.3,0.45,185.0,185.0,1081.5584,775.84155,1857.4,132.14286,15.2,39.64,14.8,122.12643,50.048763,50.048763,0.6204300758209255,0.0
47.085,18.3,0.45,190.0,190.0,1070.4551,776.34486,1846.8,135.71429,15.61,40.71,15.2,125.42714,49.995987,49.995987,0.6511707887675935,0.0
47.085,18.3,0.45,195.0,195.0,1057.564,775.43599,1833.0,139.28571,16.02,41.79,15.6,128.72786,49.875317,49.875317,0.673130864598666,0.0
47.085,18.3,0.45,200.0,200.0,1043.045,772.95498,1816.0,142.85714,16.43,42.86,16.0,132.02857,49.76986,49.76986,0.6813161890934795,0.0
47.085,18.3,0.45,210.0,210.0,1010.9298,765.67018,1776.6,150.0,17.25,45.0,16.8,138.63,49.403652,49.403652,0.6368974450080627,0.0
47.085,18.3,0.45,215.0,215.0,967.96105,795.03895,1763.0,153.57143,17.66,46.07,17.2,141.93071,49.08655,49.08655,0.5873449752176287,0.0
47.085,18.3,0.45,220.0,220.0,969.46003,777.33997,1746.8,157.14286,18.07,47.14,17.6,145.23143,48.879246,48.879246,0.5542501938754383,0.0
47.085,18.3,0.45,225.0,225.0,971.96195,760.53805,1732.5,160.71429,18.48,48.21,18.0,148.53214,48.80998,48.80998,0.48912386721571155,0.0
52.295,12.58,0.27,252.0,108.0,1090.8446,773.9554,1864.8,141.42857,16.26,42.43,14.4,129.84429,49.114563,49.114563,0.5053411648831765,0.0
52.295,12.58,0.27,259.0,111.0,1081.5584,775.84155,1857.4,145.35714,16.72,43.61,14.8,133.45107,49.302494,49.302494,0.5161155190941739,0.0
52.295,12.58,0.27,266.0,114.0,1070.4551,776.34486,1846.8,149.28571,17.17,44.79,15.2,137.05786,49.503456,49.503456,0.5181129590683786,0.0
52.295,12.58,0.27,273.0,117.0,1057.564,775.43599,1833.0,153.21429,17.62,45.96,15.6,140.66464,49.518654,49.518654,0.5100103765976611,0.0
52.295,12.58,0.27,280.0,120.0,1043.045,772.95498,1816.0,157.14286,18.07,47.14,16.0,144.27143,49.523594,49.523594,0.490118311875389,0.0
52.295,12.58,0.27,287.0,123.0,1026.6499,769.15012,1795.8,161.07143,18.52,48.32,16.4,147.87821,49.4663,49.4663,0.4572740839525973,0.0
52.295,12.58,0.27,294.0,126.0,1010.9298,765.67018,1776.6,165.0,18.98,49.5,16.8,151.485,49.334446,49.334446,0.4135467586826247,0.0
52.295,12.58,0.27,301.0,129.0,967.96105,795.03895,1763.0,168.92857,19.43,50.68,17.2,155.09179,49.998615,49.998615,0.36340788327360474,0.0
52.295,12.58,0.27,308.0,132.0,969.46003,777.33997,1746.8,172.85714,19.88,51.86,17.6,158.69857,49.38063,49.38063,0.3181788662662257,0.0
52.295,12.58,0.27,315.0,135.0,971.96195,760.53805,1732.5,176.78571,20.33,53.04,18.0,162.30536,48.88751,48.88751,0.2525516582754994,0.0
49.69,15.44,0.36,216.0,144.0,1090.8446,773.9554,1864.8,141.42857,16.26,42.43,14.4,129.84429,49.137207,49.137207,0.629158975763888,0.0
49.69,15.44,0.36,222.0,148.0,1081.5584,775.84155,1857.4,145.35714,16.72,43.61,14.8,133.45107,49.145317,49.145317,0.648690404907003,0.0
49.69,15.44,0.36,234.0,156.0,1057.564,775.43599,1833.0,153.21429,17.62,45.96,15.6,140.66464,49.33123,49.33123,0.64796512745816,0.0
49.69,15.44,0.36,240.0,160.0,1043.045,772.95498,1816.0,157.14286,18.07,47.14,16.0,144.27143,49.251373,49.251373,0.6223274221966278,0.0
49.69,15.44,0.36,246.0,164.0,1026.6499,769.15012,1795.8,161.07143,18.52,48.32,16.4,147.87821,49.12327,49.12327,0.5815282611868773,0.0
49.69,15.44,0.36,252.0,168.0,1010.9298,765.67018,1776.6,165.0,18.98,49.5,16.8,151.485,48.92044,48.92044,0.5291675768701183,0.0
49.69,15.44,0.36,258.0,172.0,967.96105,795.03895,1763.0,168.92857,19.43,50.68,17.2,155.09179,49.38035,49.38035,0.4736161393392637,0.0
49.69,15.44,0.36,264.0,176.0,969.46003,777.33997,1746.8,172.85714,19.88,51.86,17.6,158.69857,48.88577,48.88577,0.42033307814473386,0.0
49.69,15.44,0.36,270.0,180.0,971.96195,760.53805,1732.5,176.78571,20.33,53.04,18.0,162.30536,48.43006,48.43006,0.3460510986768217,0.0
47.085,18.3,0.45,180.0,180.0,1090.8446,773.9554,1864.8,141.42857,16.26,42.43,14.4,129.84429,50.00717,50.00717,0.6244156980575011,0.0
47.085,18.3,0.45,190.0,190.0,1070.4551,776.34486,1846.8,149.28571,17.17,44.79,15.2,137.05786,49.55998,49.55998,0.6483372703628881,0.0
47.085,18.3,0.45,195.0,195.0,1057.564,775.43599,1833.0,153.21429,17.62,45.96,15.6,140.66464,49.214592,49.214592,0.6378143975053518,0.0
47.085,18.3,0.45,200.0,200.0,1043.045,772.95498,1816.0,157.14286,18.07,47.14,16.0,144.27143,49.146053,49.146053,0.6122583106772315,0.0
47.085,18.3,0.45,205.0,205.0,1026.6499,769.15012,1795.8,161.07143,18.52,48.32,16.4,147.87821,49.15392,49.15392,0.5711768112910514,0.0
47.085,18.3,0.45,210.0,210.0,1010.9298,765.67018,1776.6,165.0,18.98,49.5,16.8,151.485,49.104355,49.104355,0.5183884319577796,0.0
47.085,18.3,0.45,215.0,215.0,967.96105,795.03895,1763.0,168.92857,19.43,50.68,17.2,155.09179,48.81567,48.81567,0.45843900445709307,0.0
47.085,18.3,0.45,220.0,220.0,969.46003,777.33997,1746.8,172.85714,19.88,51.86,17.6,158.69857,48.6403,48.6403,0.40821516051735174,0.0
47.085,18.3,0.45,225.0,225.0,971.96195,760.53805,1732.5,176.78571,20.33,53.04,18.0,162.30536,48.601227,48.601227,0.33561107301007875,0.0
52.295,12.58,0.27,252.0,108.0,1090.8446,773.9554,1864.8,154.28571,17.74,46.29,14.4,140.86286,49.53707,49.53707,0.47356154274042084,0.0
52.295,12.58,0.27,259.0,111.0,1081.5584,775.84155,1857.4,158.57143,18.24,47.57,14.8,144.77571,49.681408,49.681408,0.4631377288626206,0.0
52.295,12.58,0.27,266.0,114.0,1070.4551,776.34486,1846.8,162.85714,18.73,48.86,15.2,148.68857,49.85995,49.85995,0.4434695628066274,0.0
52.295,12.58,0.27,273.0,117.0,1057.564,775.43599,1833.0,167.14286,19.22,50.14,15.6,152.60143,49.90531,49.90531,0.4145505758092245,0.0
52.295,12.58,0.27,280.0,120.0,1043.045,772.95498,1816.0,171.42857,19.71,51.43,16.0,156.51429,49.81511,49.81511,0.37593032414104577,0.0
52.295,12.58,0.27,287.0,123.0,1026.6499,769.15012,1795.8,175.71429,20.21,52.71,16.4,160.42714,49.591766,49.591766,0.3272272289650897,0.0
52.295,12.58,0.27,294.0,126.0,1010.9298,765.67018,1776.6,180.0,20.7,54.0,16.8,164.34,49.40891,49.40891,0.2708265260879006,0.0
52.295,12.58,0.27,301.0,129.0,967.96105,795.03895,1763.0,184.28571,21.19,55.29,17.2,168.25286,50.166935,50.166935,0.20948421276131945,0.0
52.295,12.58,0.27,308.0,132.0,969.46003,777.33997,1746.8,188.57143,21.69,56.57,17.6,172.16571,49.633053,49.633053,0.15320603537691113,0.0
52.295,12.58,0.27,315.0,135.0,971.96195,760.53805,1732.5,192.85714,22.18,57.86,18.0,176.07857,49.106113,49.106113,0.08122642143292813,0.0
49.69,15.44,0.36,216.0,144.0,1090.8446,773.9554,1864.8,154.28571,17.74,46.29,14.4,140.86286,49.3105,49.3105,0.5977539525908634,0.0
49.69,15.44,0.36,228.0,152.0,1070.4551,776.34486,1846.8,162.85714,18.73,48.86,15.2,148.68857,49.540398,49.540398,0.563500941194019,0.0
49.69,15.44,0.36,234.0,156.0,1057.564,775.43599,1833.0,167.14286,19.22,50.14,15.6,152.60143,49.537952,49.537952,0.5273752867695585,0.0
49.69,15.44,0.36,240.0,160.0,1043.045,772.95498,1816.0,171.42857,19.71,51.43,16.0,156.51429,49.485363,49.485363,0.4815642415242285,0.0
49.69,15.44,0.36,246.0,164.0,1026.6499,769.15012,1795.8,175.71429,20.21,52.71,16.4,160.42714,49.23288,49.23288,0.42550536969906116,0.0
49.69,15.44,0.36,252.0,168.0,1010.9298,765.67018,1776.6,180.0,20.7,54.0,16.8,164.34,48.956615,48.956615,0.3620909867649613,0.0
49.69,15.44,0.36,258.0,172.0,967.96105,795.03895,1763.0,184.28571,21.19,55.29,17.2,168.25286,49.460896,49.460896,0.295139613924993,0.0
49.69,15.44,0.36,264.0,176.0,969.46003,777.33997,1746.8,188.57143,21.69,56.57,17.6,172.16571,48.904835,48.904835,0.23368516696395125,0.0
49.69,15.44,0.36,270.0,180.0,971.96195,760.53805,1732.5,192.85714,22.18,57.86,18.0,176.07857,48.498573,48.498573,0.1561018353413548,0.0
47.085,18.3,0.45,185.0,185.0,1081.5584,775.84155,1857.4,158.57143,18.24,47.57,14.8,144.77571,49.338943,49.338943,0.5764399698131332,0.0
47.085,18.3,0.45,190.0,190.0,1070.4551,776.34486,1846.8,162.85714,18.73,48.86,15.2,148.68857,49.25,49.25,0.550562233049736,0.0
47.085,18.3,0.45,195.0,195.0,1057.564,775.43599,1833.0,167.14286,19.22,50.14,15.6,152.60143,49.222088,49.222088,0.5151984729589217,0.0
47.085,18.3,0.45,200.0,200.0,1043.045,772.95498,1816.0,171.42857,19.71,51.43,16.0,156.51429,49.21005,49.21005,0.4698976051877397,0.0
47.085,18.3,0.45,205.0,205.0,1026.6499,769.15012,1795.8,175.71429,20.21,52.71,16.4,160.42714,49.13488,49.13488,0.4143801958169402,0.0
47.085,18.3,0.45,210.0,210.0,1010.9298,765.67018,1776.6,180.0,20.7,54.0,16.8,164.34,48.995132,48.995132,0.35155327785276014,0.0
47.085,18.3,0.45,215.0,215.0,967.96105,795.03895,1763.0,184.28571,21.19,55.29,17.2,168.25286,48.772156,48.772156,0.28371255675358265,0.0
47.085,18.3,0.45,220.0,220.0,969.46003,777.33997,1746.8,188.57143,21.69,56.57,17.6,172.16571,48.570847,48.570847,0.22370160864061184,0.0
47.085,18.3,0.45,225.0,225.0,971.96195,760.53805,1732.5,192.85714,22.18,57.86,18.0,176.07857,48.424156,48.424156,0.14719923038250193,0.0
